RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.806375,1730.738584,,1827.448323,1831.364054,1868.038115,1853.280613,1865.629666,1870.491723,1882.598396,1868.283547,1884.895171,1842.059558,1829.923608,1860.070035,1916.116107,1944.460935,1919.60133,1943.012699,1963.262281,1970.68043,1976.290217,2035.65433,2041.937946,2093.248545,2028.439505,2050.103891,2028.275594,2083.005619,2149.335187,2203.425803,2228.0895,2194.558234,2220.273921,2222.380508,2247.41607,2231.727544,2282.90538,2305.447264,2299.383281,2345.217565,2396.394031,2458.106637,2425.24812,2429.616122,2435.613627,2455.227923,2377.13001,2398.704737,2403.721325,2478.831244,2491.054208,2653.971233,2723.4
74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1191.029669,1194.688991,1211.511357,1227.263139,1230.084632,,1251.48974,1274.852917,1274.901678,1267.606506,1245.016713,1255.04717,1256.357313,1274.914926,1275.474981,1287.13194,1310.509373,1330.051505,1339.593335,1331.483281,1323.331011,1337.102224,1327.027311,1334.910039,1341.335593,1348.539427,1361.715634,1370.542862,1391.121991,1397.232429,1396.45191,1400.074731,1397.614591,1382.482125,1383.56564,1362.446017,1380.526209,1382.298282,1419.866799,1434.500969,1446.95159,1440.693927,1427.757939,1427.884778,1428.868217,1425.193952,1405.464633,1409.548846,1428.509112,1442.556184,1459.162037,1456.646544,1472.510252,1468.745096,1478.396856,1495.985506,1503.845287,1492.688107,1480.201308,1472.083574,1491.963126,1496.416587,1510.64296,1526.564253,1532.177688,1542.228927,1533.119661,1553.278448,1564.16861,1569.980784,1574.169802,1567.012518,1576.478359,1572.277726,1588.520099,1595.54974,1611.940033,1634.351435,1683.167444,1719.524908,1743.216815,1745.890576,1754.550038,1763.931451,1796.409347,1821.783279,1846.904593,1854.863069,1872.973205,1919.66965,1976.120688,2001.624719,1988.393979,1967.243491,1948.535702,1959.544727,1957.353528,1962.081303,1944.606821,1962.476691,1988.062876,1994.049116,1975.650014
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,,,,,,,,,,,,,,,,,1449.349673,1473.206846,1503.750801,1490.106476,1488.873362,1488.812998,1485.491623,1498.659512,1567.111728,1586.354884,1626.895998,1593.449909,1629.948456,1615.23803,1633.57215,1569.656787,1564.412802,1606.345745,1649.530559,1661.085481,1600.559711,1634.369014,1662.845297,1742.423137,1760.626841,1745.830562,1735.792503,1730.167575,1766.050655,1767.478798,1756.640009,1786.001366,1777.823624,1780.191584,1767.355979,1757.67512,1786.341974,1777.030856,1819.02799,1800.975905,1854.838351,1866.163877,1874.768808,1855.572261,1850.680402,1860.249251,1860.20186,1841.234366,1822.695214,1805.771393,1855.61851,1877.192357,1928.619235,1941.346167,2005.758008,1959.370495,1959.631463,1916.4483,1964.119015,1937.414158,1950.555059,1953.276791,1953.194404,1935.412459,1957.712458,1987.132495,1995.524934,1930.379796,1908.642906,1965.792947,2008.616799,2045.346027,2046.105207,2052.161652,2123.551161,2142.507066,2145.145339,2116.104367,2099.796716,2129.145242,2133.74623,2151.783087,2140.92682,2089.647441,2160.482361,2254.297464,2302.059524
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.372049,1895.368302,1934.190945,1963.34907,1991.827529,2001.726265,1951.5776,1971.871654,1955.056589,1967.381835,2006.527797,2067.858855,2100.886922,2120.947364,2148.698231,2210.15079,2197.818867,2191.376819,2211.167243,2234.783465,2250.552278,2307.918323,2315.263094,2324.160002,2293.309686,2272.341703,2298.203113,2296.955556
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1960.326791,1991.07419,2064.18388,2081.845002,2093.052341,2073.789371,2092.469234,2106.135955,2141.547454,2148.961618,2142.712043,2121.753084,2119.966798,2122.255283,2166.003551,2184.94995,2202.809297,2243.675628,2290.609298,2314.623261,2276.221587,2243.588024,2249.396562,2244.695317,2248.729642,2247.456332,2264.512586,2255.886007,2261.234367,2287.350989,2308.375231,2309.035648,2297.478147,2280.02111,2247.37122,2236.405043,2246.487645,2280.970017,2305.043857,2329.871869,2344.832479,2356.84473,2371.433059,2388.087836,2393.609427,2381.354384,2371.242012,2350.633983,2349.001534,2346.957458,2368.667497,2364.48504,2382.837791,2390.116993,2416.694354,2440.331029,2456.574883,2444.756325,2406.203271,2375.060763,2398.322827,2402.927458,2438.215921,2426.98247,2433.115571,2417.037286,2417.722483,2392.960383,2357.327181,2322.536628,2292.744758,2245.146588,2206.480444,2215.447489,2244.319125,2281.374667,2306.552191,2340.814079,2382.646945,2401.957056,2435.080772,2434.242594,2447.559544,2444.747509,2476.749435,2516.480422,2549.707122,2582.417808,2622.992565,2682.936681,2721.723628,2720.02094,2735.155628,2737.160179,2740.659663,2706.021696,2697.333643,2692.016347,2712.147859,2720.333441,2740.617365,2768.320914,2784.032192
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,1755.953518,1828.295408,1884.728613,1947.760096,1921.350929,1922.963742,1955.941959,1951.00594,1985.051576,1939.412883,1957.304951,1988.846252,2047.674071,2079.772208,2042.126678,2077.329495,2038.17131,2039.481419,1998.039963,2031.789175,2070.192159,2079.52342,2062.869196,2023.852595,2004.209515,2036.207798,2044.737967,2069.204121,2055.538857,2074.506554,2078.977168,2109.189402,2123.960928,2127.231736,2095.38397,2076.619231,2075.350434,2130.810909,2156.850215,2169.633324,2147.689723,2167.966518,2174.445022,2170.637419,2198.634665,2197.639668,2209.949677,2188.628925,2224.794125,2221.195237,2240.38808,2245.199806,2271.174192,2261.713141,2262.123922,2257.127547,2282.709616,2305.56981,2320.660796,2324.797674,2317.198971,2330.708954,2333.92993,2314.575722,2288.40993,2254.766795,2211.557386,2173.956103,2124.01746,2110.110615,2099.67341,2076.640671,2074.274041,2067.871934,2151.265842,2211.723705,2264.522937,2276.053355,2299.980839,2345.826742,2354.29872,2390.321427,2401.362683,2425.608694,2414.08175,2453.08448,2562.335881,2683.735283,2778.143921,2796.461772,2811.404138,2822.34387,2808.719101,2756.452995,2704.463363,2710.192174,2715.107345,2739.170501,2739.175572,2817.104035,2877.772331
70829,21,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1112.296646,1122.576383,1128.076068,1130.235996,1134.170745,1137.439364,1147.911545,1148.010111,1161.672416,1166.427947,1176.245283,1172.092569,1162.642689,1163.319265,1169.134964,1170.952189,1183.511802,1195.348235,1210.883997,1221.384639,1224.475578,1225.138993,1223.949737,1233.352517,1243.254943,1240.384308,1239.73208,1256.413954,1274.211311,1287.660904,1293.696136,1289.251139,1287.537054,1284.082895,1297.584278,1304.152662,1318.897515,1320.096633,1324.735357,1318.748407,1330.376288,1339.098009,1353.873667,1362.298811,1378.522053,1379.404844,1378.541508,1378.348767,1386.548385,1394.901515,1396.221081,1400.629634,1414.289099,1421.732964,1420.627854,1421.332626,1421.950168,1418.634148,1423.103021,1430.258046,1440.58453,1424.641245,1420.773224,1421.631202,1436.29051,1455.660196,1483.452926,1498.683679,1516.506547,1533.937887,1539.637609,1546.056257,1562.552374,1608.981281,1630.832576,1659.267031,1671.595423,1713.64158,1745.242895,1790.316695,1820.227868,1855.124243,1873.472082,1884.394164,1887.42188,1888.922105,1908.277808,1902.233725,1935.130274,1961.87662,1999.092132,2006.244566,2004.376738,2006.116095,1989.419417,2011.711258,1996.197155,2036.958526,2040.920806,2072.636621,2061.061187,2039.823268,2016.241868
96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.571923,1910.799329,1874.633267,1837.506906,1815.243429,1810.922728,1887.481141,1916.957212,1979.2374,1964.738831,2009.297684,2009.115497,1981.308738,1972.526755,1992.728722,2099.802602,2162.047331,2177.898783,2092.958352,2122.256748,2170.205322,2256.455588,2274.473103,2261.515089,2204.56033,2253.551808,2326.610031,2391.956361,2345.47619
96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.697155,2867.440475,2878.114294,2926.908289,3034.398821,3062.616196,3076.780914,3049.581264,3091.96092,3094.56234,3077.418893,3035.857359,3107.708551,3244.655122,3307.911823,3246.053371,3118.962377,3055.476479,3082.338502,3122.667228,3288.559597,3347.847222
97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,1444.640752,1442.796438,1474.052928,1445.133341,1461.059904,1476.01236,1513.144192,,1507.347973,1525.39288,1529.557367,1540.468933,1550.532615,1566.293141,1591.826974,1595.086826,1614.297718,1638.301099,1613.234224,1630.467613,1635.659873,1680.272397,1693.249715,1729.170708,1736.41933,1741.056079,1721.835078,1731.919606,1719.46002,1747.857206,1772.653741,1821.895035,1819.576798,1824.021499,1817.616532,1819.80277,1823.7565,1853.622724,1847.587537,1864.641447,1854.561274,1878.679429,1880.345315,1877.809844,1894.727094,1928.278881,1987.747678,2000.635077,2017.756109,2033.104005,2055.60631,2041.332281,2008.936112,2021.785838,2040.967624,2031.208052,2025.363869,2038.543445,2057.298975,2107.38315,2124.914585,2161.120042,2144.69538,2128.996728,2102.266041,2093.594503,2132.01109,2154.421318,2166.198588,2167.49406,2159.694997,2141.479128,2161.650447,2211.571566,2257.890852,2244.99558,2262.770795,2290.702262,2342.583673,2335.958751,2358.603363,2347.400859,2357.357307,2352.911826,2371.987377,2386.527357,2414.497655,2406.536736,2456.701485,2444.327762,2463.595928,2447.468157,2471.918196,2493.37275,2508.92756,2510.161601,2522.742288,2505.152993,2521.076961,2488.284935,2491.53152,2477.651386,2530.9921
